LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
Aberdeen City,Local Authority,Muirfield School,Mastrick Drive,Aberdeen,,AB16 6UE,9051024494
Aberdeen City,Local Authority,Quarryhill School,Birkhall Parade,Aberdeen,,AB16 5QT,9051023307
Aberdeen City,Local Authority,Skene Square School,61 Skene Square,Aberdeen,,AB25 2UN,9051068881
Aberdeen City,Local Authority,Seaton School,Seaton Place East,Aberdeen,,AB24 1XE,9051089139
Aberdeen City,Local Authority,Gilcomstoun School,Skene Street,Aberdeen,,AB10 1PG,9051065010
Aberdeen City,Local Authority,Manor Park School,Danestone Circle,Middlefield,ABERDEEN,AB16 7YB,9051131494
Aberdeen City,Local Authority,Kingsford School,Kingsford Road,Aberdeen,,AB16 6PQ,9051131493
Aberdeen City,Local Authority,St Joseph's RC School,5 Queen's Road,Aberdeen,,AB15 4YL,9051045729
Aberdeen City,Local Authority,St Peter's RC School,74 Dunbar Street,Aberdeen,,AB24 3UJ,9051087434
Aberdeen City,Local Authority,Sunnybank School,Sunnybank Road,Aberdeen,,AB24 3NJ,9051070661
Aberdeen City,Local Authority,Tullos School,Girdleness Road,Torry,ABERDEEN,AB11 8FJ,9051093744
Aberdeen City,Local Authority,Woodside School,Clifton Road,Aberdeen,,AB24 4EA,9051052739
Aberdeen City,Local Authority,Harlaw Academy,18/20 Albyn Place,Aberdeen,,AB10 1RG,9051043375
Aberdeen City,Local Authority,Dyce Academy,Riverview Drive,Dyce,ABERDEEN,AB21 7NF,9051017062
Aberdeen City,Local Authority,Hazlehead Academy,Groat's Road,Aberdeen,,AB15 8BE,9051009101
Aberdeen City,Local Authority,Northfield Academy,Granitehill Place,Aberdeen,,AB16 7AU,9051033032
Aberdeen City,Local Authority,Aberdeen Grammar School,Skene Street,Aberdeen,,AB10 1HT,9051064936
Aberdeen City,Local Authority,Aberdeen School for the Deaf,Sunnybank School,Sunnybank Road,ABERDEEN,AB24 3NJ,9051070661
Aberdeen City,Local Authority,Hospital & Home Tuition Service,Royal Aberdeen Children's Hospital,Lowit Unit - Westburn Road,ABERDEEN,AB25 2ZG,9051131492
Aberdeen City,Local Authority,Kaimhill School,Pitmedden Terrace,Aberdeen,,AB10 7HR,9051040034
Aberdeen City,Local Authority,Loirston School,Loirston Avenue,Cove Bay,ABERDEEN,AB12 3HE,9051091871
Aberdeen City,Local Authority,Forehill School,Jesmond Drive,Bridge Of Don,ABERDEEN,AB22 8UR,9051099116
Aberdeen City,Local Authority,Oldmachar Academy,Jesmond Drive,Bridge Of Don,ABERDEEN,AB22 8UR,9051098895
Aberdeen City,Local Authority,Danestone School,Fairview Brae,Danestone Bridge of Don,ABERDEEN,AB22 8ZN,9051097547
Aberdeen City,Local Authority,Charleston School,Charleston Road,Cove,ABERDEEN,AB12 3FH,9051074959
Aberdeen City,Local Authority,St Machar Academy,St Machar Drive,Aberdeen,,AB24 3YZ,9051074104
Aberdeen City,Local Authority,Greenbrae School,Greenbrae Crescent,Bridge Of Don,ABERDEEN,AB23 8NJ,9051103349
Aberdeenshire,Local Authority,Banchory-Devenick School,Banchory-Devenick,Aberdeen,,AB12 5XQ,151125388
Aberdeenshire,Local Authority,Bervie School,Church Street,Inverbervie,ANGUS,DD10 0RU,151085142
Aberdeenshire,Local Authority,Catterline School,Catterline,Stonehaven,KINCARDINESHIRE,AB39 2UL,151102870
Aberdeenshire,Local Authority,Crathes School,Crathes,Banchory,KINCARDINESHIRE,AB31 5QR,151110645
Aberdeenshire,Local Authority,Dunnottar School,High Street,Stonehaven,KINCARDINESHIRE,AB39 2JN,151085507
Aberdeenshire,Local Authority,Fettercairn School,Distillery Road,Fettercairn Laurencekirk,KINCARDINESHIRE,AB30 1YB,151086437
Aberdeenshire,Local Authority,Auchenblae School,Auchenblae,Fordoun,KINCARDINESHIRE,AB30 1WQ,151109682
Aberdeenshire,Local Authority,Glenbervie School,Drumlithie,Stonehaven,KINCARDINESHIRE,AB39 3YS,151100588
Aberdeenshire,Local Authority,Gourdon School,McGill Terrace,Gourdon,MONTROSE,DD10 0LU,151085786
Aberdeenshire,Local Authority,Johnshaven School,Seaview Terrace,Johnshaven by Montrose,ANGUS,DD10 0HF,151102336
Aberdeenshire,Local Authority,Luthermuir School,Luthermuir,Laurencekirk,KINCARDINESHIRE,AB30 1QA,151100580
Aberdeenshire,Local Authority,Marykirk School,Kirktonhill Road,Marykirk,LAURENCEKIRK,AB30 1UZ,151086093
Aberdeenshire,Local Authority,Hill of Banchory School,Firbrae,Hill of Banchory South,BANCHORY,AB31 5ZT,151142875
Aberdeenshire,Local Authority,Newtonhill School,St Michael's Road,"Newtonhill, Stonehaven",ABERDEENSHIRE,AB39 3XW,151086162
Aberdeenshire,Local Authority,Portlethen Primary School,Cookston Road,Portlethen,ABERDEENSHIRE,AB12 4PT,151124353
Aberdeenshire,Local Authority,Redmyre School,Fordoun,Laurencekirk,ABERDEENSHIRE,AB30 1NP,151105988
Aberdeenshire,Local Authority,St Cyrus School,Beach Road,St Cyrus Montrose,ANGUS,DD10 0BJ,151086599
Aberdeenshire,Local Authority,Arduthie School,Arduthie Road,Stonehaven,KINCARDINESHIRE,AB39 2DP,151085052
Aberdeenshire,Local Authority,Durris School,Durris,Banchory,KINCARDINESHIRE,AB31 6BH,151131895
Aberdeenshire,Local Authority,Banchory Academy,Raemoir Road,Banchory,KINCARDINESHIRE,AB31 5UJ,151143927
Aberdeenshire,Local Authority,Mackie Academy,Slug Road,Stonehaven,KINCARDINESHIRE,AB39 3DF,151062411
Aberdeenshire,Local Authority,Mearns Academy,Aberdeen Road,Laurencekirk,KINCARDINESHIRE,AB30 1ZJ,151167541
Aberdeenshire,Local Authority,Carronhill School,Mill of Forest Road,Stonehaven,KINCARDINESHIRE,AB39 2GZ,151085315
Aberdeenshire,Local Authority,Aboyne Primary School,Morven Plance,Aboyne,ABERDEENSHIRE,AB34 5JN,151650719
Aberdeenshire,Local Authority,Ballater School,Monaltrie Crescent,Ballater,ABERDEENSHIRE,AB35 5RN,151086444
Aberdeenshire,Local Authority,Braemar School,School Road,Braemar,ABERDEENSHIRE,AB35 5ZS,151085205
Aberdeenshire,Local Authority,Crathie School,Crathie,Ballater,ABERDEENSHIRE,AB35 5UL,151124258
Aberdeenshire,Local Authority,Drumoak School,James Gregory Road,Drumoak,BANCHORY,AB31 5DY,151168716
Aberdeenshire,Local Authority,Finzean School,Finzean,By Banchory,ABERDEENSHIRE,AB31 6NY,151131953
Aberdeenshire,Local Authority,Kincardine O'Neil School,North Deeside Road,Kincardine O'Neil,ABERDEENSHIRE,AB34 5AA,151086439
Aberdeenshire,Local Authority,Logie Coldstone School,Dinnet,Aboyne,ABERDEENSHIRE,AB34 5PQ,151105778
Aberdeenshire,Local Authority,Lumphanan School,Lumphanan,,ABERDEENSHIRE,AB31 4SU,151086435
Aberdeenshire,Local Authority,Tarland School,School Road,Tarland,ABERDEENSHIRE,AB34 4UU,151086798
Aberdeenshire,Local Authority,Torphins School,Beltie Road,Torphins,BANCHORY,AB31 4JT,151086441
Aberdeenshire,Local Authority,Aboyne Academy,Bridgeview Road,Aboyne,ABERDEENSHIRE,AB34 5JN,151085007
Aberdeenshire,Local Authority,Mill O'Forest School,Woodview Place,Stonehaven,KINCARDINESHIRE,AB39 2TD,151086133
Aberdeenshire,Local Authority,Banchory Primary School,Arbeadie Road,Banchory,KINCARDINESHIRE,AB31 4EH,151086438
Aberdeenshire,Local Authority,Fishermoss School,Berrymuir Road,Portlethen,ABERDEENSHIRE,AB12 4UF,151085620
Aberdeenshire,Local Authority,Portlethen Academy,Bruntland Road,Portlethen,ABERDEEN,AB12 4QL,151501103
Aberdeenshire,Local Authority,Laurencekirk School,Frain Drive,Laurencekirk,ABERDEENSHIRE,AB30 1EG,151086001
Angus,Local Authority,Woodlands Primary School,Queen Street,Carnoustie,,DD7 7SU,117101393
Angus,Local Authority,Aberlemno Primary School,School Road,Aberlemno,FORFAR,DD8 3PE,117097853
Angus,Local Authority,Airlie Primary School,Kirkton Road,Airlie,KIRRIEMUIR,DD8 5NP,117083272
Angus,Local Authority,Arbirlot Primary School,Arbirlot,By Arbroath,,DD11 2PZ,117081285
Angus,Local Authority,Hayshead Primary School,Abbey View Campus,Hayshead Road,ARBROATH,DD11 5FE,117136932
Angus,Local Authority,Inverbrothock Primary School,East Kirkton Road,Arbroath,,DD11 4GR,117097423
Angus,Local Authority,Ladyloan Primary School,Millgate Loan,Arbroath,,DD11 1LX,117082219
Angus,Local Authority,Burnside Primary School,Thomas Street,Carnoustie,,DD7 7JZ,117053686
Angus,Local Authority,Muirfield Primary School,School Road,Arbroath,,DD11 2LU,117079294
Angus,Local Authority,St Thomas' RC Primary School,Abbey View Campus,Hayshead Road,ARBROATH,DD11 5FE,117136932
Angus,Local Authority,Timmergreens Primary School,Emislaw Drive,Arbroath,,DD11 2HJ,117097344
Angus,Local Authority,Warddykes Primary School,Warddykes Avenue,Arbroath,,DD11 4AN,117082500
Angus,Local Authority,Whitehills Primary School,Fyfe Street,Forfar,,DD8 3EQ,117108052
Angus,Local Authority,Andover Primary School,50A Drumachlie Park,Brechin,,DD9 7BU,117083810
Angus,Local Authority,Maisondieu Primary School,St Andrew's Street,Brechin,,DD9 6JJ,117081543
Angus,Local Authority,Carmyllie Primary School,Redford,Carmyllie,ARBROATH,DD11 2RD,117083457
Angus,Local Authority,Colliston Primary School,Colliston,By Arbroath,,DD11 3RR,117081724
Angus,Local Authority,Cortachy Primary School,Cortachy,By Kirriemuir,,DD8 4LX,117096299
Angus,Local Authority,Isla Primary School,Peel Farm,Lintrathen,KIRRIEMUIR,DD8 5JJ,117118292
Angus,Local Authority,Eassie Primary School,Eassie,by Glamis,FORFAR,DD8 1SQ,117077385
Angus,Local Authority,Edzell Primary School,High Street,Edzell,BRECHIN,DD9 7TA,117099736
Angus,Local Authority,Ferryden Primary School,Craig Crescent,Ferryden,MONTROSE,DD10 9RF,117097591
Angus,Local Authority,Strathmore Primary School,St James Road,Forfar,,DD8 1LE,117096488
Angus,Local Authority,Langlands Primary School,Glamis Road,Forfar,,DD8 1DH,117079276
Angus,Local Authority,Friockheim Primary School,Friockheim,By Arbroath,,DD11 4XB,117097152
Angus,Local Authority,Glamis Primary School,Dundee Road,Glamis,BY FORFAR,DD8 1RJ,117096129
Angus,Local Authority,Inverarity Primary School,Gateside Road,Inverarity,BY FORFAR,DD8 2JN,117079084
Angus,Local Authority,Inverkeilor Primary School,22 Station Road,Inverkeilor,ARBROATH,DD11 5RY,117097796
Angus,Local Authority,Southmuir Primary School,Prosen Road,Kirriemuir,,DD8 5AT,117096163
Angus,Local Authority,Letham Primary School,3 Braehead Road,Letham,BY FORFAR,DD8 2PG,117080471
Angus,Local Authority,Monikie Primary School,Craigton Road,Monikie,ANGUS,DD5 3QN,117083574
Angus,Local Authority,Southesk Primary School,Hill Place,Montrose,,DD10 8BP,117083068
Angus,Local Authority,St Margaret's RC Primary School,Blackfriars Street,Montrose,,DD10 8LL,117083144
Angus,Local Authority,Newbigging Primary School,33-35 Pitairlie Road,Newbigging,DUNDEE,DD5 3RH,117080056
Angus,Local Authority,Stracathro Primary School,Inchbare,By Brechin,ANGUS,DD9 7QE,117097328
Angus,Local Authority,Tannadice Primary School,Southesk Road,Tannadice,FORFAR,DD8 3SH,117079837
Angus,Local Authority,Arbroath Academy,Glenisla Drive,Arbroath,,DD11 5JD,117082503
Angus,Local Authority,Arbroath High School,Keptie Road,Arbroath,,DD11 3EN,117082306
Angus,Local Authority,Brechin High School,Brechin Community Campus,Duke Street,BRECHIN,DD9 6LB,117081516
Angus,Local Authority,Carnoustie High School,Shanwell Road,Carnoustie,,DD7 7SS,117083607
Angus,Local Authority,Forfar Academy,Forfar Community Campus,Kirriemuir Road,FORFAR,DD8 3TG,117134303
Angus,Local Authority,Webster's High School,Prosen Road,Kirriemuir,,DD8 5BR,117096163
Angus,Local Authority,Carlogie Primary School,Caesar Avenue,Carnoustie,,DD7 6DS,117097029
Angus,Local Authority,Lochside Primary School,Nursery Road,Montrose,,DD10 9AN,117083153
Angus,Local Authority,Montrose Academy,Academy Square,Montrose,,DD10 8HU,117097634
Angus,Local Authority,Northmuir Primary School,91 Roods,Kirriemuir,,DD8 4HA,117078344
Angus,Local Authority,Newtyle Primary School,Dundee Road,Newtyle,BLAIRGOWRIE,PH12 8UF,117083651
Angus,Local Authority,Borrowfield Primary School,Newhame Road,Montrose,,DD10 9EZ,117083173
Dundee City,Local Authority,Claypotts Castle Primary School,9 Balloch Place,Dundee,,DD4 8TB,9059095131
Dundee City,Local Authority,Off-site Education Service,Rockwell Learning Centre,Lawton Road,DUNDEE,DD3 6SY,9059105996
Angus,Local Authority,Auchterhouse Primary School,Kirkton of Auchterhouse,Dundee,,DD3 0QS,117077507
Dundee City,Local Authority,Rowantree Primary School,1 Birks Terrace,Dundee,,DD4 8EJ,9059095132
Angus,Local Authority,Liff Primary School,Liff,Dundee,,DD2 5NJ,117077264
Angus,Local Authority,Mattocks Primary School,13 School Road,Wellbank,ANGUS,DD5 3PF,117102329
Dundee City,Local Authority,Craigowl Primary School,112 Laird Street,Dundee,,DD3 9NY,9059095127
Angus,Local Authority,Seaview Primary School,Victoria Street,Monifieth,ANGUS,DD5 4HL,117080029
Angus,Local Authority,Birkhill Primary School,Dronley Road,Birkhill,DUNDEE,DD2 5QD,117077469
Angus,Local Authority,Murroes Primary School,Duntrune,Angus,,DD4 0PL,117096424
Angus,Local Authority,Strathmartine Primary School,Craigmill Road,Bridgefoot,DUNDEE,DD3 0PH,117096064
Angus,Local Authority,Tealing Primary School,School Road,Tealing,DUNDEE,DD4 0SZ,117083580
Dundee City,Local Authority,St Andrew's RC Primary School,45 St Leonard Place,Dundee,,DD3 9HD,9059095128
Dundee City,Local Authority,Ballumbie Primary School,70 Lothian Crescent,Dundee,,DD4 0HU,9059102072
Dundee City,Local Authority,Ancrum Road Primary School,47 Ancrum Road,Dundee,,DD2 2HX,9059036733
Dundee City,Local Authority,Ardler Primary School,Turnberry Avenue,Dundee,,DD2 3TP,9059054984
Dundee City,Local Authority,Barnhill Primary School,Falkland Crescent,Broughty Ferry,DUNDEE,DD5 3SQ,9059008465
Dundee City,Local Authority,Blackness Primary School,Hawkhill,Dundee,,DD1 5RT,9059021676
Dundee City,Local Authority,Clepington Primary School,Eliza Street,Dundee,,DD4 6TQ,9059030595
Dundee City,Local Authority,Craigiebarns Primary School,Brington Road,Dundee,,DD4 7UH,9059047033
Dundee City,Local Authority,Dens Road Primary School,Dens Road,Dundee,,DD3 7HY,9059082101
Dundee City,Local Authority,Downfield Primary School,20 Haldane Crescent,Dundee,,DD3 0JP,9059100568
Dundee City,Local Authority,Eastern Primary School,Camperdown Street,Broughty Ferry,DUNDEE,DD5 3AE,9059094999
Dundee City,Local Authority,Fintry Primary School,10 Findcastle Terrace,Dundee,,DD4 9EL,9059095130
Dundee City,Local Authority,Forthill Primary School,Fintry Place,Broughty Ferry,DUNDEE,DD5 3BE,9059000546
Dundee City,Local Authority,Glebelands Primary School,Baffin Street,Dundee,,DD4 6EZ,9059025237
Dundee City,Local Authority,Longhaugh Primary,9 Lothian Crescent,Dundee,,DD4 0SX,9059106368
Dundee City,Local Authority,Mill Of Mains Primary School,Barns Of Claverhouse Road,Dundee,,DD4 9RD,9059040857
Dundee City,Local Authority,Our Lady's RC Primary School,15 Alexander Street,Dundee,,DD3 7DL,9059106807
Dundee City,Local Authority,Victoria Park Primary School,1 Glenagnes Road,Dundee,,DD2 2AB,9059102620
Dundee City,Local Authority,Rosebank Primary School,15 Alexander Street,Dundee,,DD3 7DL,9059106320
Dundee City,Local Authority,St Clement's RC Primary School,Buttars Street,Dundee,,DD2 4PQ,9059007154
Dundee City,Local Authority,St Fergus' RC Primary School,Turnberry Avenue,,DUNDEE,DD2 3TP,9059063608
Dundee City,Local Authority,St Joseph's RC Primary School,1 Glenagnes Road,Dundee,,DD2 2AB,9059102622
Dundee City,Local Authority,St Mary's RC Primary School,St Mary's Lane,Lochee,DUNDEE,DD2 3AQ,9059056227
Dundee City,Local Authority,St Ninian's RC Primary School,Dochart Terrace,Menzieshill,DUNDEE,DD2 4HB,9059054592
Dundee City,Local Authority,St Peter & Paul RC School,Byron Street,Dundee,,DD3 6QN,9059010848
Dundee City,Local Authority,St Pius' RC Primary School,Banchory Road,Dundee,,DD4 7TQ,9059059106
Dundee City,Local Authority,Craigie High School,Garnet Terrace,Dundee,,DD4 7QD,9059028888
Dundee City,Local Authority,Sidlaw View Primary School,67 Harestane Road,Dundee,,DD3 0LF,9059105067
Dundee City,Local Authority,Grove Academy,24 Claypotts Road,Broughty Ferry,DUNDEE,DD5 1AB,9059095133
Dundee City,Local Authority,Harris Academy,470 - 472 Perth Road,Dundee,,DD2 1NL,9059088912
Dundee City,Local Authority,St Paul's RC Academy,90 Gillburn Road,Dundee,,DD3 0EH,9059095192
Dundee City,Local Authority,Morgan Academy,Forfar Road,Dundee,,DD4 7AX,9059035421
Angus,Local Authority,Rosemount Primary School,Hospital Road,Hillside,MONTROSE,DD10 9JH,117098098
Dundee City,Local Authority,St John's RC High School,Harefield Road,Dundee,,DD3 6EY,9059066687
Dundee City,Local Authority,Baldragon Academy,69 Harestane Road,Dundee,,DD3 0LF,9059105068
Dundee City,Local Authority,Kingspark School,5 Glenaffric Terrace,Dundee,,DD3 8HF,9059100832
Perth & Kinross,Local Authority,Invergowrie Primary School,14 Errol Road,Invergowrie,,DD2 5AD,124099460
Perth & Kinross,Local Authority,Longforgan Primary School,66 Main Street,Longforgan,,DD2 5EU,124044588
Angus,Local Authority,Grange Primary School,Grange Road,Monifieth,,DD5 4LU,117079856
Angus,Local Authority,Monifieth High School,Panmurefield Road,Monifieth,,DD5 4QT,117096654
Dundee City,Local Authority,Braeview Academy,Berwick Drive,Dundee,,DD4 0NL,9059017548
Perth & Kinross,Local Authority,Moncreiffe Primary School,Gleneagles Road,Perth,,PH2 0AW,124016124
Perth & Kinross,Local Authority,Fairview School,Oakbank Crescent,Perth,,PH1 1DF,124080399
Perth & Kinross,Local Authority,Abernethy Primary School,78 Main Street,Abernethy,,PH2 9LA,124079344
Perth & Kinross,Local Authority,Abernyte Primary School,Abernyte,Inchture,,PH14 9ST,124062128
Perth & Kinross,Local Authority,Aberuthven Primary School,Main Road,Aberuthven,PERTHSHIRE,PH3 1HE,124040503
Perth & Kinross,Local Authority,Inch View Primary and Nursery School,Glenearn Community Campus,Glenearn Road,PERTH,PH2 0BE,124092365
Perth & Kinross,Local Authority,Arngask Primary School,Main Street,Glenfarg,PERTH,PH2 9NT,124016952
Perth & Kinross,Local Authority,Auchtergaven Primary School,Prieston Road,Bankfoot,PERTH,PH1 4DE,124046236
Perth & Kinross,Local Authority,Balbeggie Primary School,Main Street,Balbeggie,PERTH,PH2 6EZ,124060813
Perth & Kinross,Local Authority,Blackford Primary School,Stirling Street,Blackford,PERTHSHIRE,PH4 1PZ,124041192
Perth & Kinross,Local Authority,Blair Atholl Primary School,St Adamnan Road,Bridge of Tilt,PITLOCHRY,PH18 5TB,124048603
Perth & Kinross,Local Authority,Newhill Primary School,Blairgowrie Community Campus,Henderson Place,BLAIRGOWRIE,PH10 6UZ,124092349
Perth & Kinross,Local Authority,St Stephen's RC Primary School,Blairgowrie Community Campus,Henderson Place,BLAIRGOWRIE,PH10 6UZ,124092350
Perth & Kinross,Local Authority,Braco Primary School,Braco,Dunblane,,FK15 9QD,124018563
Perth & Kinross,Local Authority,Dunbarney Primary School,Main Street,Bridge Of Earn,PERTH,PH2 9DY,124034586
Perth & Kinross,Local Authority,Burrelton Primary School,School Road,Burrelton,,PH13 9NZ,124053828
Perth & Kinross,Local Authority,Cleish Primary School,Cleish,Kinross,,KY13 0LR,124062047
Perth & Kinross,Local Authority,Collace Primary School,Kinrossie,Perth,,PH2 6HU,124065174
Perth & Kinross,Local Authority,Comrie Primary School,School Road,Comrie,,PH6 2LZ,124044293
Perth & Kinross,Local Authority,Crieff Primary School,Broich Road,Crieff,,PH7 3SE,124098810
Perth & Kinross,Local Authority,St Dominic's RC Primary School,Broich Road,Crieff,,PH7 3SB,124028620
Perth & Kinross,Local Authority,Royal School Of Dunkeld Primary School,Dunkeld,,,PH8 0AB,124024412
Perth & Kinross,Local Authority,Dunning Primary School,Station Road,Dunning,PERTHSHIRE,PH2 0RH,124027437
Perth & Kinross,Local Authority,Errol Primary School,Station Road,Errol,PERTHSHIRE,PH2 7QB,124021635
Perth & Kinross,Local Authority,Forgandenny Primary School,Forgandenny,By Perth,,PH2 9EL,124040895
Perth & Kinross,Local Authority,Fossoway Primary School,Drum,Kinross,,KY13 0UL,124063048
Perth & Kinross,Local Authority,Glendelvine Primary School,Caputh,Perth,,PH1 4JL,124065590
Perth & Kinross,Local Authority,Glenlyon Primary School,Bridge of Balgie,Glenlyon,ABERFELDY,PH15 2PP,124064017
Perth & Kinross,Local Authority,Grandtully Primary School,Grandtully,Pitlochry,,PH9 0PL,124065681
Perth & Kinross,Local Authority,Guildtown Primary School,School Road,Guildtown,BY PERTH,PH2 6BX,124051072
Perth & Kinross,Local Authority,Inchture Primary School,Inchture,Perthshire,,PH14 9RN,124065222
Perth & Kinross,Local Authority,Kenmore Primary School,Kenmore,By Aberfeldy,PERTHSHIRE,PH15 2HL,124070375
Perth & Kinross,Local Authority,Kinloch Rannoch Primary School,Kinloch Rannoch,By Pitlochry,PERTHSHIRE,PH16 5PL,124027083
Perth & Kinross,Local Authority,Kinross Primary School,Station Road,Kinross,,KY13 8TG,124112974
Perth & Kinross,Local Authority,Kirkmichael Primary School,Kirkmichael,Blairgowrie,PERTHSHIRE,PH10 7NX,124066732
Perth & Kinross,Local Authority,Logiealmond Primary School,Harrietfield,Perth,,PH1 3TB,124066574
Perth & Kinross,Local Authority,Logierait Primary School,Ballinluig,Pitlochry,,PH9 0LG,124067809
Perth & Kinross,Local Authority,Madderty Primary School,Madderty,Crieff,,PH7 3PA,124067866
Perth & Kinross,Local Authority,Meigle Primary School,Dundee Road,Meigle,PERTHSHIRE,PH12 8SD,124012301
Perth & Kinross,Local Authority,Methven Primary School,Main Street,Methven,PERTH,PH1 3PX,124022174
Perth & Kinross,Local Authority,Milnathort Primary School,Bridgefauld Road,Milnathort,KINROSS,KY13 9XP,124040169
Perth & Kinross,Local Authority,Murthly Primary School,Murthly,Perth,,PH1 4HB,124066786
Perth & Kinross,Local Authority,Muthill Primary School,Station Road,Muthill,,PH5 2AR,124004631
Perth & Kinross,Local Authority,Craigie Primary School,15 Abbott Street,Perth,,PH2 0EE,124000069
Perth & Kinross,Local Authority,Goodlyburn Primary School,Crieff Road,Perth,,PH1 2NT,124031521
Perth & Kinross,Local Authority,Kinnoull Primary School,Dundee Road,Perth,,PH2 7EY,124035460
Perth & Kinross,Local Authority,Letham Primary School,Struan Road,Perth,,PH1 2NL,124012711
Perth & Kinross,Local Authority,Oakbank Primary School,Viewlands Road West,Perth,,PH1 1NA,124049420
Perth & Kinross,Local Authority,Our Lady's RC Primary School,Garth Avenue,Perth,,PH1 2LG,124005105
Perth & Kinross,Local Authority,St Ninian's Episcopal Primary School,1-5 Dunkeld Road,Perth,,PH1 5RW,124046162
Perth & Kinross,Local Authority,Tulloch Primary School,Gillespie Place,Perth,,PH1 2QX,124103928
Perth & Kinross,Local Authority,Viewlands Primary School,Oakbank Crescent,Perth,,PH1 1BU,124037480
Perth & Kinross,Local Authority,Pitcairn Primary School,Bridgeton Brae,Almondbank,PERTH,PH1 3LJ,124037017
Perth & Kinross,Local Authority,Portmoak Primary School,Buchan Avenue,Kinnesswood,KINROSS,KY13 9HT,124064107
Perth & Kinross,Local Authority,Rattray Primary School,High Street,Rattray,BLAIRGOWRIE,PH10 7DG,124010298
Perth & Kinross,Local Authority,Ruthvenfield Primary School,Ruthvenfield,Perth,,PH1 3JP,124066777
Perth & Kinross,Local Authority,St Madoes Primary School,Sidlaw Terrace,St Madoes,GLENCARSE,PH2 7NH,124068121
Perth & Kinross,Local Authority,Robert Douglas Memorial Primary School,Spoutwells Road,Scone,PERTH,PH2 6RS,124044072
Perth & Kinross,Local Authority,Stanley Primary School,The Square,Stanley,PERTH,PH1 4LT,124011757
Perth & Kinross,Local Authority,Luncarty Primary School,Marshall Road,Luncarty,PERTHSHIRE,PH1 3EX,124014161
Perth & Kinross,Local Authority,Breadalbane Academy,Breadalbane Community Campus,Crieff Road,ABERFELDY,PH15 2DU,124079512
Perth & Kinross,Local Authority,The Community School of Auchterarder,New School Lane,Auchterarder,PERTHSHIRE,PH3 1BL,124048375
Perth & Kinross,Local Authority,Blairgowrie High School,Beeches Road,Blairgowrie,,PH10 6PW,124026710
Perth & Kinross,Local Authority,Coupar Angus Primary School,School Road,Coupar Angus,PERTHSHIRE,PH13 9AS,124047867
Perth & Kinross,Local Authority,St John's RC Academy,North Inch Community Campus,Gowans Terrace,PERTH,PH1 5BF,124092369
Perth & Kinross,Local Authority,Crieff High School,Strathearn Community Campus,Pittenzie Road,CRIEFF,PH7 3JN,124092356
Perth & Kinross,Local Authority,Kinross High School,Loch Leven Community Campus,The Muirs,KINROSS,KY13 8FQ,124092361
Perth & Kinross,Local Authority,Perth Academy,Murray Place,Perth,,PH1 1NJ,124009146
Perth & Kinross,Local Authority,Perth Grammar School,Gowans Terrace,Perth,,PH1 5AZ,124000015
Perth & Kinross,Local Authority,Perth High School,Oakbank Road,Perth,,PH1 1HB,124009145
Perth & Kinross,Local Authority,Pitlochry High School,East Moulin Road,Pitlochry,,PH16 5ET,124030586
Perth & Kinross,Local Authority,Alyth Primary School,Albert Street,Alyth,,PH11 8AX,124008060
Perth & Kinross,Local Authority,Kettins Primary School,School Road,Kettins,BLAIRGOWRIE,PH13 9JL,124065323
Fife,Local Authority,Anstruther Primary School,St Andrew's Road,Anstruther,FIFE,KY10 3HD,320229200
Fife,Local Authority,Duloch Schools and Community Campus,Nightingale Place,Duloch Park,DUNFERMLINE,KY11 8GN,320284360
Fife,Local Authority,Masterton Primary School,Aberdour Road,Dunfermline,,KY11 8HY,320277085
Fife,Local Authority,Strathallan Primary School,Strathallan Drive,Kirkcaldy,,KY2 5YP,320284539
Fife,Local Authority,Aberhill Primary School,Wellesley Road,Methil,LEVEN,KY8 3AD,320179203
Fife,Local Authority,St Ninian's R C Primary School,78 Derran Drive,Cardenden,LOCHGELLY,KY5 0JJ,320179310
Fife,Local Authority,Auchtertool Primary School,Main Street,Auchtertool,KIRKCALDY,KY2 5XW,320179644
Fife,Local Authority,Balcurvie Primary School,Balcurvie Road,Windygates,LEVEN,KY8 5DY,320180521
Fife,Local Authority,Buckhaven Primary School,College Street,Buckhaven,LEVEN,KY8 1JZ,320181006
Fife,Local Authority,Burntisland Primary School,Cowdenbeath Road,Burntisland,,KY3 0LJ,320311586
Fife,Local Authority,Cardenden Primary School,Carden Castle Avenue,Cardenden,LOCHGELLY,KY5 0EW,320179922
Fife,Local Authority,Denbeath Primary School,Wall Street,Buckhaven,LEVEN,KY8 1JG,320181034
Fife,Local Authority,Denend Primary School,4 School Lane,Cardenden,LOCHGELLY,KY5 0BS,320179911
Fife,Local Authority,Dysart Primary School,Normand Road,Dysart,KIRKCALDY,KY1 2XW,320181782
Fife,Local Authority,East Wemyss Primary School,School Wynd,East Wemyss,KIRKCALDY,KY1 4RN,320179237
Fife,Local Authority,Carleton Primary School,Happer Crescent,Glenrothes,,KY7 5DN,320180418
Fife,Local Authority,Caskieberran Primary School,Ravenswood Drive,Glenrothes,,KY6 2NZ,320180139
Fife,Local Authority,Pitteuchar East Primary School,Glamis Avenue,Glenrothes,,KY7 4NU,320180217
