LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
Highland,Local Authority,Bualnaluib Primary School,Aultbea,Achnasheen,,IV22 2JH,130111564
Highland,Local Authority,Cromarty Primary School,Braehead,Cromarty,,IV11 8XR,130111970
Highland,Local Authority,Coulhill Primary School,Alness,Ross-shire,,IV17 0RD,130113939
Highland,Local Authority,Culbokie Primary School,Culbokie,Dingwall,,IV7 8JH,130112283
Highland,Local Authority,Dingwall Primary School,Ross Avenue,Dingwall,,IV15 9UU,130003571
Highland,Local Authority,North Kessock Primary School,North Kessock,Ferry Brae,,IV1 3WX,130112359
Highland,Local Authority,Edderton Primary School,Edderton,Tain,,IV19 1LF,130061176
Highland,Local Authority,Ferintosh Primary School,Ferintosh,Easter Kinkell,DINGWALL,IV7 8HZ,130111973
Highland,Local Authority,Hill of Fearn Primary School,Rhynie Road,Fearn,,IV20 1SU,130110268
Highland,Local Authority,Hilton of Cadboll Primary School,Hilton,Fearn,TAIN,IV20 1XR,130111781
Highland,Local Authority,Inver Primary School,Inver,Tain,,IV20 1RX,130071366
Highland,Local Authority,South Lodge Primary School,Castle Road,Invergordon,ROSS-SHIRE,IV18 0LW,130113867
Highland,Local Authority,Kiltearn Primary School,Drummond Road,Evanton,,IV16 9UT,130003404
Highland,Local Authority,Lochcarron Primary School,Strathcarron,,,IV54 8YS,130111559
Highland,Local Authority,Marybank Primary School,Urray,Muir Of Ord,,IV6 7UN,130100062
Highland,Local Authority,Mulbuie Primary School,Muir Of Ord,,,IV6 7RB,130164600
Highland,Local Authority,Munlochy Primary School,56 Millbank Road,Munlochy,,IV8 8NL,130011905
Highland,Local Authority,Newmore Primary School,Invergordon,,,IV18 0PG,130111977
Highland,Local Authority,Obsdale Primary School,Alness,Ross-Shire,,IV17 0TP,130080761
Highland,Local Authority,Poolewe Primary School,Poolewe,Achnasheen,,IV22 2LA,130111978
Highland,Local Authority,Shieldaig Primary School,Shieldaig,Strathcarron,,IV54 8XN,130111557
Highland,Local Authority,Strathconon Primary School,Strathconon,Muir Of Ord,,IV6 7QQ,130111558
Highland,Local Authority,Strathgarve Primary School,Garve,,,IV23 2PR,130109970
Highland,Local Authority,Knockbreck Primary School - Tain,Tain,,,IV19 1BL,130006970
Highland,Local Authority,Tarbat Old Primary School,Tarbatness Road,Portmahomack,,IV20 1YJ,130099844
Highland,Local Authority,Tarradale Primary School,Black Isle Road,Muir of Ord,,IV6 7RR,130087467
Highland,Local Authority,Tore Primary School,Tore,Muir Of Ord,,IV6 7SA,130103613
Highland,Local Authority,Gairloch High School,Achtercairn,Gairloch,,IV21 2BP,130065069
Highland,Local Authority,Dingwall Academy,Dingwall,,,IV15 9LT,130126152
Highland,Local Authority,Fortrose Academy,Academy Street,Fortrose,ROSS-SHIRE,IV10 8TW,130001061
Highland,Local Authority,Invergordon Academy,Academy Road,Invergordon,,IV18 0LD,130005452
Highland,Local Authority,Tain Royal Academy,Scotsburn Road,Tain,,IV19 1PS,130127580
Highland,Local Authority,Ullapool High School,Mill Street,Ullapool,,IV26 2UN,130009532
Highland,Local Authority,St Clement's School,Tulloch Street,Dingwall,,IV15 9JZ,130080381
Highland,Local Authority,Bun-sgoil Ghaidhlig Inbhir Nis,Inverness,,,IV2 6BA,130125486
Highland,Local Authority,Alness Academy,Dalmore,,ALNESS,IV17 0UY,130176799
Highland,Local Authority,Craighill Primary School,Craighill Terrace,Tain,,IV19 1EU,130007260
Highland,Local Authority,Resolis Primary School,Balblair,Dingwall,,IV7 8LJ,130127250
Highland,Local Authority,Park Primary School,Albany Road,Invergordon,,IV18 0HA,130005938
Highland,Local Authority,Milton Primary School,Kildary,Invergordon,,IV18 0PX,130110269
Highland,Local Authority,Inshes Primary School,Inshes Road,Inverness,,IV2 3RF,130125493
Highland,Local Authority,St Duthus School,Academy Street,Tain,,IV19 1ED,130007161
Highland,Local Authority,Scoraig School,Scoraig,Dundonnell,GARVE,IV23 2RE,130064568
Highland,Local Authority,Loch Duich Primary School,Kyle Of Lochalsh,,,IV40 8HE,130111494
Highland,Local Authority,Kyle Primary School,Kyle Of Lochalsh,,,IV40 8LG,130111616
Highland,Local Authority,Plockton High School,Plockton,Ross-shire,,IV52 8TU,130063333
Highland,Local Authority,Plockton Primary School,Plockton,,,IV52 8TW,130108077
Highland,Local Authority,Carbost Primary School,Carbost,Isle Of Skye,,IV47 8SR,130111260
Highland,Local Authority,Edinbane Primary School,By Portree,Isle Of Skye,,IV51 9PW,130111090
Highland,Local Authority,Bun-Sgoil Shleite,Teangue,SLEAT,ISLE OF SKYE,IV44 8RF,130111278
Highland,Local Authority,Kilmuir Primary School,Portree,Isle Of Skye,,IV51 9UB,130111138
Highland,Local Authority,Kyleakin Primary School,Kyleakin,Isle Of Skye,,IV41 8PH,130111358
Highland,Local Authority,Macdiarmid Primary School,Carbost,Skeabost Bridge,PORTREE ISLE OF SKYE,IV51 9PD,130062655
Highland,Local Authority,Raasay Primary School,Isle Of Raasay,By Kyle,,IV40 8PB,130111980
Highland,Local Authority,Broadford Primary School,Broadford,Isle Of Skye,,IV49 9AQ,130107154
Highland,Local Authority,Dunvegan Primary School,Dunvegan,Isle Of Skye,,IV55 8GU,130111103
Highland,Local Authority,Portree High School,Viewfield Road,Portree,ISLE OF SKYE,IV51 9ET,130106860
Highland,Local Authority,Staffin Primary School,Staffin,Isle Of Skye,,IV51 9JS,130113296
Highland,Local Authority,Auchtertyre Primary,Auchtertyre,Balmacara,KYLE OF LOCHALSH,IV40 8EG,130111497
Highland,Local Authority,Portree Primary,Blaven Road,Portree,,IV51 9PH,130082000
Highland,Local Authority,Acharacle Primary School,Acharacle,Argyll,,PH36 4JU,130111370
Highland,Local Authority,Ardgour Primary School,Ardgour,By Fort William,,PH33 7AB,130111296
Highland,Local Authority,Ardnamurchan High School,Drimnatorran,Strontian,ACHARCLE,PH36 4JA,130092475
Highland,Local Authority,Ballachulish Primary School,Ballachulish,,,PH49 4JQ,130107856
Highland,Local Authority,Glencoe Primary School,Ballachulish,Glencoe,,PH49 4HP,130111490
Highland,Local Authority,Duror Primary School,Appin,Argyll,,PA38 4BW,130111982
Highland,Local Authority,Kilchoan Primary School,Kilchoan,Acharacle,,PH36 4LH,130111364
Highland,Local Authority,Lochaline Primary School,Lochaline,By Oban,,PA80 5XT,130111984
Highland,Local Authority,Strontian Primary School,By Acharacle,,,PH36 4JA,130178838
Highland,Local Authority,Arisaig Primary School,Arisaig,,,PH39 4NH,130111375
Highland,Local Authority,Banavie Primary School,Tomonie,Fort William,,PH33 7LX,130110671
Highland,Local Authority,Caol Primary School,Glenkingie Street,Fort William,,PH33 7DP,130107815
Highland,Local Authority,Eigg Primary School,Isle Of Eigg,,,PH42 4RL,130127262
Highland,Local Authority,Invergarry Primary School,Invergarry,,,PH35 4HG,130111983
Highland,Local Authority,Inverie Primary School,Inverie,By Mallaig,,PH41 4PL,130074388
Highland,Local Authority,Inverlochy Primary School,Inverlochy,Fort William,,PH33 6LS,130107819
Highland,Local Authority,Spean Bridge Primary School,Spean Bridge,,,PH34 4EU,130110652
Highland,Local Authority,Lady Lovat Primary School,Morar,,,PH40 4PA,130074301
Highland,Local Authority,St Bride's Primary School,Onich,Fort William,,PH33 6SA,130073804
Highland,Local Authority,Rum Primary School,Isle Of Rum,,,PH43 4RR,130111985
Highland,Local Authority,Kinlochleven Primary School,Kinlochleven,,,PH50 4QG,130123390
Highland,Local Authority,Kinlochleven High School,Riverside Road,Kinlochleven,ARGYLL,PH50 4QG,130123390
Highland,Local Authority,Mallaig High School,Mallaig,,,PH41 4RG,130074354
Highland,Local Authority,Lochaber High School,Camaghael,Fort William,,PH33 7ND,130073636
Highland,Local Authority,Mallaig Primary School,Mallaig,,,PH41 4QX,130111377
Highland,Local Authority,Muck Primary School,Isle Of Muck,,,PH41 2RP,130111993
Highland,Local Authority,Aldourie Primary School,Aldourie,By Inverness,,IV2 6DP,130110242
Highland,Local Authority,Ardersier Primary School,Ardersier,,,IV2 7SW,130087904
Highland,Local Authority,Balloch Primary,Culloden Road,Balloch,INVERNESS,IV2 7HQ,130103500
Highland,Local Authority,Balnain Primary School,Inverness,,,IV63 6TJ,130111600
Highland,Local Authority,Cannich Bridge Primary School,Cannich,Beauly,INVERNESS-SHIRE,IV4 7LN,130111502
Highland,Local Authority,Croy Primary School,Croy,Inverness,,IV2 5PG,130103472
Highland,Local Authority,Dochgarroch Primary School,Dochgarroch,Inverness,,IV3 8JG,130110248
Highland,Local Authority,Farr Primary School - Inverness,Farr,Inverness,,IV2 6XJ,130106934
Highland,Local Authority,Holm Primary School,Stratherrick Road,Inverness,,IV2 4YL,130042558
Highland,Local Authority,Bishop Eden's Primary School,73 King Street,Inverness,,IV3 5HX,130048999
Highland,Local Authority,Cauldeen Primary School,Mackay Road,Inverness,,IV2 4HZ,130039083
Highland,Local Authority,Central Primary School,Kenneth Street,Inverness,,IV3 5DW,130111630
Highland,Local Authority,Crown Primary School,Kingsmills Road,Inverness,,IV2 3JT,130034503
Highland,Local Authority,Dalneigh Primary School,St Ninian Drive,Inverness,,IV3 5AU,130047814
Highland,Local Authority,Drakies Primary School,Drumossie Avenue,Inverness,,IV2 3SG,130035796
Highland,Local Authority,Hilton Primary School,Temple Crescent,Inverness,,IV2 4TP,10091914761
Highland,Local Authority,Lochardil Primary School,Lochardil Road,Inverness,,IV2 4LB,130039587
Highland,Local Authority,Merkinch Primary School,Telford Road,Inverness,,IV3 8HY,130107017
Highland,Local Authority,St Joseph's RC Primary,King Street,Inverness,,IV3 5DG,130111639
Highland,Local Authority,Raigmore Primary School,King Duncan's Road,Inverness,,IV2 3UG,130036715
Highland,Local Authority,Smithton Primary School,Smithton,Inverness,,IV2 7PD,130110139
Highland,Local Authority,Teanassie Primary School,By Beauly,,,IV4 7AE,130107061
Highland,Local Authority,Tomnacross Primary School,Kiltarlity,Beauly,,IV4 7HW,130111603
Highland,Local Authority,Kinmylies Primary School,Assynt Road,Inverness,,IV3 8PB,130053419
Highland,Local Authority,Kirkhill Primary School,St Mary's Road,Kirkhill,INVERNESS-SHIRE,IV5 7NX,130110231
Highland,Local Authority,Kilchuimen Academy,Station Road,Fort Augustus,INVERNESS-SHIRE,PH32 4DL,130099940
Highland,Local Authority,Glen Urquhart High School,Pitkerrald Road,Drumnadrochit,,IV63 6XA,130111598
Highland,Local Authority,Inverness High School,Montague Row,Inverness,,IV3 5DZ,130048291
Highland,Local Authority,Millburn Academy,Diriebught Road,Inverness,,IV2 3QR,130034961
Highland,Local Authority,Inverness Royal Academy,Culduthel Road,Inverness,,IV2 6RE,130178280
Highland,Local Authority,Drummond School,Drummond Road,Inverness,,IV2 4NZ,130099900
Highland,Local Authority,Muirtown Primary School,King Brude Road,Inverness,,IV3 8LU,130052847
Highland,Local Authority,Cradlehall Primary School,Westhill,Inverness,,IV2 5DB,130107695
Highland,Local Authority,Duncan Forbes Primary School,Keppoch Road,Culloden,INVERNESS,IV2 7NY,130046110
Highland,Local Authority,Stratherrick Primary School,Gorthleck,Inverness,,IV2 6UJ,130106287
Highland,Local Authority,Charleston Academy,General Booth Road,Kinmylies,INVERNESS,IV3 8ET,130052213
Highland,Local Authority,Culloden Academy,Keppoch Road,Culloden,INVERNESS,IV2 7JZ,130045350
Highland,Local Authority,Beauly Primary School,Croyard Road,Beauly,,IV4 7DJ,130107139
